scorer,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan,Vivian-Gunawan
bodyparts,snout,snout,tailbase,tailbase,leftear,leftear,rightear,rightear
coords,x,y,x,y,x,y,x,y
labeled-data/pursuit-14_days_post_TN_C57-5-2/img0286.png,798.2127720938703,133.85293117580989,646.4267433741156,151.80611736846902,759.0421840371595,122.42817632593585,767.2027232156408,158.33454871125423
labeled-data/pursuit-14_days_post_TN_C57-5-2/img0443.png,796.580664258174,618.5889583776072,728.03213515893,478.22768450772645,796.580664258174,577.7862624852,765.5706153799446,592.4752330064666
labeled-data/pursuit-14_days_post_TN_C57-5-2/img0630.png,778.6274780655149,538.6156744284891,631.737772852849,574.5220468138075,757.4100762014632,550.040429278363,763.9385075442483,577.7862624852
labeled-data/pursuit-14_days_post_TN_C57-5-2/img1860.png,527.2828713682867,494.54876286468937,551.764488903731,341.1306263092383,550.1323810680346,465.1708218221562,510.96179301132383,453.74606697228216
labeled-data/pursuit-14_days_post_TN_C57-5-2/img2485.png,794.9485564224777,213.826215124928,674.1725765809525,140.3813625185951,781.8916937369074,171.39141139682454,760.6742918728557,202.40146027505398
labeled-data/pursuit-14_days_post_TN_C57-5-2/img2639.png,,,618.6809101672787,135.48503901150616,,,499.5370381614498,153.4382252041654
labeled-data/pursuit-14_days_post_TN_C57-5-2/img2977.png,543.6039497252495,631.6458210631774,628.4735571814565,532.0872430857039,571.3497829320864,638.1742524059625,553.3965967394273,603.8999878563407
labeled-data/pursuit-14_days_post_TN_C57-5-2/img3598.png,507.6975773399313,461.9066061507636,613.7845866601899,564.7293997996296,512.5939008470201,512.5019490573485,545.2360575609458,481.49190017911906
labeled-data/pursuit-14_days_post_TN_C57-5-2/img3830.png,,,654.5872825525971,182.81616624669857,698.6541941163969,107.73920580466927,734.5605665017151,119.1639606545433
labeled-data/pursuit-14_days_post_TN_C57-5-2/img3937.png,507.6975773399313,88.15391177631386,615.4166944958862,195.87302893226877,528.914979203983,137.11714684720243,559.9250280822124,124.06028416163224
labeled-data/pursuit-14_days_post_TN_C57-5-2/img4102.png,732.9284586660189,488.0203315219042,700.2863019520931,347.65905765202353,760.6742918728557,458.64239047937104,726.4000273232336,465.1708218221562
labeled-data/pursuit-14_days_post_TN_C57-5-2/img4546.png,638.2662041956341,332.97008713075695,528.914979203983,225.25096997480193,623.5772336743676,295.4316069097423,607.2561553174047,324.80954795227547
labeled-data/pursuit-14_days_post_TN_C57-5-2/img4703.png,760.6742918728557,32.66224536264008,731.2963508303226,158.33454871125423,732.9284586660189,89.78601961201014,783.5238015726037,93.05023528340269
labeled-data/pursuit-14_days_post_TN_C57-5-2/img5257.png,669.2762530738637,378.669106530253,744.3532135158929,502.7093020431708,677.4367922523451,411.3112632441787,703.5505176234857,396.6222927229121
labeled-data/pursuit-14_days_post_TN_C57-5-2/img6173.png,654.5872825525971,32.66224536264008,603.9919396460122,151.80611736846902,610.5203709887974,81.62548043352876,656.2193903882934,83.25758826922504
labeled-data/pursuit-14_days_post_TN_C57-5-2/img6493.png,499.5370381614498,602.2678800206443,607.2561553174047,463.53871398645987,540.339734053857,585.9468016636814,519.1223321898052,559.8330762925409
labeled-data/pursuit-14_days_post_TN_C57-5-2/img7408.png,679.0689000880413,550.040429278363,752.5137526943743,470.067145329245,719.8715959804485,576.1541546495037,710.0789489662708,532.0872430857039
labeled-data/pursuit-14_days_post_TN_C57-5-2/img7949.png,538.7076262181607,228.5151856461946,574.613998603479,111.00342147606193,564.8213515893012,200.7693524393577,533.8113027110718,192.60881326087622
labeled-data/pursuit-14_days_post_TN_C57-5-2/img8191.png,628.4735571814565,117.53185281884703,670.90836090956,264.42155803151286,648.0588512098119,155.07033303986168,674.1725765809525,130.58871550441734
labeled-data/pursuit-14_days_post_TN_C57-5-2/img8734.png,695.3899784450042,58.775970733780696,700.2863019520931,236.67572482467597,672.5404687452562,117.53185281884703,723.1358116518411,102.84288229758045
