scorer,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga,Beatrice-Tanaga
bodyparts,snout,snout,tailbase,tailbase,leftear,leftear,rightear,rightear
coords,x,y,x,y,x,y,x,y
labeled-data/pursuit-14_days_post_TN_C57-5-2/img0248.png,641.2396222857681,135.501407786821,529.7429060742229,174.35632404235946,612.52077114037,132.1227194167742,624.346180435534,167.59894730226574
labeled-data/pursuit-14_days_post_TN_C57-5-2/img0616.png,587.180608365019,204.7645193727808,484.1306130785909,198.0071426326872,583.8019199949722,167.59894730226574,560.1511014046444,196.3177984476638
labeled-data/pursuit-14_days_post_TN_C57-5-2/img1183.png,,,593.9379851051126,214.90058448292132,536.5002828143167,128.7440310467274,568.5978223297614,115.22927756654008
labeled-data/pursuit-14_days_post_TN_C57-5-2/img1734.png,620.9674920654872,252.06615655343626,565.2191339597146,140.5694403418912,649.6863432108851,209.832551927851,604.074050215253,208.1432077428276
labeled-data/pursuit-14_days_post_TN_C57-5-2/img2126.png,793.2805989378751,228.41533796310853,686.8519152814001,121.98665430663368,788.2125663828049,194.6284542626404,761.1830594224302,226.72599377808513
labeled-data/pursuit-14_days_post_TN_C57-5-2/img2362.png,522.9855293341293,196.3177984476638,619.2781478804638,116.91862175156348,550.015036294504,172.66697985733606,522.9855293341293,150.70550545203173
labeled-data/pursuit-14_days_post_TN_C57-5-2/img2821.png,,,619.2781478804638,194.6284542626404,538.1896269993401,147.3268170819848,550.015036294504,113.53993338151668
labeled-data/pursuit-14_days_post_TN_C57-5-2/img3072.png,,,544.9470037394337,152.39484963705513,590.5592967350658,248.68746818338946,566.908478144738,233.48337051817884
labeled-data/pursuit-14_days_post_TN_C57-5-2/img3480.png,647.9969990258617,115.22927756654008,529.7429060742229,191.2497658925936,605.7633944002764,111.85058919649327,627.7248688055809,138.8800961568678
labeled-data/pursuit-14_days_post_TN_C57-5-2/img3715.png,599.0060176601828,236.86205888822565,546.6363479244571,118.60796593658688,615.899459510417,196.3177984476638,578.733887439902,203.0751751877574
labeled-data/pursuit-14_days_post_TN_C57-5-2/img4105.png,,,653.0650315809319,583.1776168180247,767.9404361625238,576.4202400779311,761.1830594224302,608.517779593376
labeled-data/pursuit-14_days_post_TN_C57-5-2/img4711.png,,,522.9855293341293,135.501407786821,620.9674920654872,213.21124029789792,592.2486409200892,238.55140307324905
labeled-data/pursuit-14_days_post_TN_C57-5-2/img4752.png,,,484.1306130785909,130.4333752317508,575.3551990698552,149.01616126700833,577.0445432548786,187.87107752254667
labeled-data/pursuit-14_days_post_TN_C57-5-2/img5573.png,,,502.7133991138484,115.22927756654008,560.1511014046444,160.84157056217214,538.1896269993401,187.87107752254667
labeled-data/pursuit-14_days_post_TN_C57-5-2/img6502.png,756.11502686736,191.2497658925936,673.3371618012129,116.91862175156348,779.7658454576876,140.5694403418912,742.6002733871728,157.46288219212533
labeled-data/pursuit-14_days_post_TN_C57-5-2/img6861.png,605.7633944002764,145.6374728969614,570.2871665147848,280.7850076988343,585.4912641799956,160.84157056217214,614.2101153253934,176.04566822738286
labeled-data/pursuit-14_days_post_TN_C57-5-2/img7073.png,504.4027432988718,579.7989284479779,642.9289664707915,606.8284354083526,533.1215944442699,611.8964679634228,538.1896269993401,574.7308958929077
labeled-data/pursuit-14_days_post_TN_C57-5-2/img7351.png,571.9765106998082,493.642375011784,543.2576595544103,598.3817144832354,548.3256921094805,532.4972912673225,587.180608365019,535.8759796373693
labeled-data/pursuit-14_days_post_TN_C57-5-2/img7692.png,688.5412594664235,573.0415517078843,791.5912547528517,571.3522075228609,715.5707664267982,616.964500518493,729.0855199069854,581.4882726330013
labeled-data/pursuit-14_days_post_TN_C57-5-2/img8795.png,664.8904408760959,233.48337051817884,533.1215944442699,143.948128711938,639.5502781007447,203.0751751877574,626.0355246205575,241.93009144329585
